"","Date","JPM"
"187","9/28/2006",35.925678
"188","9/29/2006",35.78091
"189","10/2/2006",35.712337
"190","10/3/2006",36.382866
"191","10/4/2006",36.444248
"192","10/5/2006",36.382866
"193","10/6/2006",35.960777
"194","10/9/2006",36.152622
"195","10/10/2006",36.474937
"196","10/11/2006",36.559349
"197","10/12/2006",37.035149
"198","10/13/2006",36.958405
"199","10/16/2006",36.62841
"200","10/17/2006",36.827946
"201","10/18/2006",36.22937
"202","10/19/2006",35.968441
"203","10/20/2006",36.160297
"204","10/23/2006",36.3675
"205","10/24/2006",36.175655
"206","10/25/2006",36.275398
"207","10/26/2006",36.65913
"208","10/27/2006",36.290764
"209","10/30/2006",36.413548
"210","10/31/2006",36.405869
"211","11/1/2006",36.014496
"212","11/2/2006",35.991474
"213","11/3/2006",35.983791
"214","11/6/2006",36.567032
"215","11/7/2006",36.444248
"216","11/8/2006",36.559349
"217","11/9/2006",36.252392
"218","11/10/2006",36.536343
"219","11/13/2006",36.574707
"220","11/14/2006",36.643757
"221","11/15/2006",36.413548
"222","11/16/2006",36.720501
"223","11/17/2006",36.574707
"224","11/20/2006",36.758881
"225","11/21/2006",36.643757
"226","11/22/2006",36.520992
"227","11/24/2006",36.275398
"228","11/27/2006",35.784271
"229","11/28/2006",35.454281
"230","11/29/2006",35.814953
"231","11/30/2006",35.51569
"232","12/1/2006",35.308475
"233","12/4/2006",35.945431
"234","12/5/2006",36.221699
"235","12/6/2006",35.937744
"236","12/7/2006",35.784271
"237","12/8/2006",35.884037
"238","12/11/2006",36.490284
"239","12/12/2006",36.551689
"240","12/13/2006",36.528656
"241","12/14/2006",36.797256
"242","12/15/2006",37.06583
"243","12/18/2006",37.012127
"244","12/19/2006",37.042824
"245","12/20/2006",37.00444
"246","12/21/2006",37.334435
"247","12/22/2006",36.751209
"248","12/26/2006",37.073524
"249","12/27/2006",37.564667
"250","12/28/2006",37.541637
"251","12/29/2006",37.06583
"252","1/3/2007",37.150864
"253","1/4/2007",37.243595
"254","1/5/2007",36.934456
"255","1/8/2007",37.058105
"256","1/9/2007",36.903538
"257","1/10/2007",37.174049
"258","1/11/2007",37.336349
"259","1/12/2007",37.089027
"260","1/16/2007",37.398174
"261","1/17/2007",37.429089
"262","1/18/2007",37.212692
"263","1/19/2007",37.684124
"264","1/22/2007",38.379681
"265","1/23/2007",38.511078
"266","1/24/2007",38.920681
"267","1/25/2007",38.804764
"268","1/26/2007",38.410603
"269","1/29/2007",38.232845
"270","1/30/2007",38.781567
"271","1/31/2007",39.361202
"272","2/1/2007",39.577595
"273","2/2/2007",39.361202
"274","2/5/2007",39.384388
"275","2/6/2007",39.41531
"276","2/7/2007",39.577595
"277","2/8/2007",39.361202
"278","2/9/2007",38.967064
"279","2/12/2007",38.982502
"280","2/13/2007",39.376671
